key_value,hana_count,dremio_count,difference,match
262000244543,2,2,0,True
262000244547,6,6,0,True
262000247179,4,4,0,True
262000248436,7,7,0,True
262000248438,7,7,0,True
262000250501,3,3,0,True
262000250502,3,3,0,True
262000256480,4,4,0,True
262000224919,3,3,0,True
262000010912,1,1,0,True
262000010932,1,1,0,True
262000025598,3,3,0,True
262000025899,7,7,0,True
262000031048,6,6,0,True
262000036055,6,6,0,True
262000039043,4,4,0,True
262000040873,3,3,0,True
262000049245,3,3,0,True
262000061182,3,3,0,True
262000066598,3,3,0,True
262000185048,6,6,0,True
262000106514,3,3,0,True
262000111571,2,2,0,True
262000116482,3,3,0,True
262000121215,5,5,0,True
262000150295,5,5,0,True
262000156892,1,1,0,True
262000166084,3,3,0,True
262000166718,6,6,0,True
262000168989,5,5,0,True
262000171267,4,4,0,True
262000171872,6,6,0,True
262000180000,3,3,0,True
262000105335,3,3,0,True
263000012053,3,3,0,True
263000012054,3,3,0,True
263000012055,3,3,0,True
263000012056,3,3,0,True
263000012057,3,3,0,True
263000012058,3,3,0,True
263000012059,3,3,0,True
263000012060,3,3,0,True
263000012061,3,3,0,True
263000012062,3,3,0,True
263000012063,3,3,0,True
262000272494,1,1,0,True
263000012065,3,3,0,True
263000012066,3,3,0,True
263000012067,3,3,0,True
263000012068,3,3,0,True
263000012069,3,3,0,True
263000012070,3,3,0,True
263000012071,3,3,0,True
263000012072,3,3,0,True
263000012073,3,3,0,True
263000012074,3,3,0,True
263000012075,3,3,0,True
263000012076,3,3,0,True
263000012064,3,3,0,True
263000010667,3,3,0,True
263000012028,3,3,0,True
263000012029,3,3,0,True
263000012030,3,3,0,True
263000012031,3,3,0,True
263000012032,4,4,0,True
263000012033,3,3,0,True
263000012034,3,3,0,True
263000012035,3,3,0,True
263000012036,3,3,0,True
263000012037,3,3,0,True
263000012038,4,4,0,True
263000012052,3,3,0,True
263000012040,3,3,0,True
263000012041,3,3,0,True
263000012042,3,3,0,True
263000012043,3,3,0,True
263000012044,3,3,0,True
263000012045,3,3,0,True
263000012046,3,3,0,True
263000012047,3,3,0,True
263000012048,3,3,0,True
263000012049,4,4,0,True
263000012050,3,3,0,True
263000012051,3,3,0,True
263000012039,4,4,0,True
259000029202,1,1,0,True
259000029203,1,1,0,True
259000029204,1,1,0,True
259000029205,1,1,0,True
259000029206,1,1,0,True
259000029207,1,1,0,True
259000029208,2,2,0,True
259000029209,1,1,0,True
259000029210,1,1,0,True
259000029211,1,1,0,True
259000029212,1,1,0,True
262000009408,2,2,0,True
259000029214,1,1,0,True
259000029215,1,1,0,True
259000029216,1,1,0,True
259000029217,1,1,0,True
259000029218,1,1,0,True
259000029219,1,1,0,True
259000029220,1,1,0,True
259000029221,1,1,0,True
259000029222,1,1,0,True
259000029223,1,1,0,True
259000029224,1,1,0,True
259000029225,1,1,0,True
259000029213,1,1,0,True
258000011725,1,1,0,True
258000011997,2,2,0,True
258000111318,5,5,0,True
258000236705,4,4,0,True
258000238151,3,3,0,True
258000325495,2,2,0,True
258000325538,3,3,0,True
258000328918,1,1,0,True
258000329061,3,3,0,True
258000329062,2,2,0,True
258000329080,2,2,0,True
259000021837,6,6,0,True
259000013038,2,2,0,True
259000013612,2,2,0,True
259000013644,1,1,0,True
259000013795,1,1,0,True
259000013796,1,1,0,True
259000013937,1,1,0,True
259000013970,1,1,0,True
259000013975,1,1,0,True
259000013978,1,1,0,True
259000013979,1,1,0,True
259000014781,1,1,0,True
259000014785,1,1,0,True
254000011306,3,3,0,True
260000017535,1,1,0,True
260000017568,1,1,0,True
260000017704,1,1,0,True
260000017793,1,1,0,True
260000017796,1,1,0,True
260000017813,1,1,0,True
260000017891,2,2,0,True
260000017907,1,1,0,True
260000017959,1,1,0,True
260000017968,2,2,0,True
260000017974,2,2,0,True
259000029226,1,1,0,True
260000018049,1,1,0,True
260000018083,1,1,0,True
260000018087,1,1,0,True
260000018100,2,2,0,True
260000018122,1,1,0,True
260000018540,4,4,0,True
260000018666,3,3,0,True
261000013585,3,3,0,True
261000015413,6,6,0,True
261000017742,6,6,0,True
261000017949,4,4,0,True
262000008269,3,3,0,True
260000018024,1,1,0,True
259000029227,1,1,0,True
259000029228,1,1,0,True
259000029229,1,1,0,True
259000029230,1,1,0,True
259000029231,1,1,0,True
259000029232,1,1,0,True
259000029233,1,1,0,True
259000029234,1,1,0,True
260000006792,1,1,0,True
260000015747,2,2,0,True
260000016376,1,1,0,True
260000016528,1,1,0,True
260000017513,1,1,0,True
260000016741,1,1,0,True
260000016755,1,1,0,True
260000016759,1,1,0,True
260000016797,1,1,0,True
260000016894,2,2,0,True
260000016907,2,2,0,True
260000016991,1,1,0,True
260000017105,1,1,0,True
260000017200,1,1,0,True
260000017295,2,2,0,True
260000017482,1,1,0,True
260000017495,1,1,0,True
260000016692,1,1,0,True
254000011034,3,3,0,True
254000011035,3,3,0,True
254000011036,3,3,0,True
254000011037,3,3,0,True
254000011038,3,3,0,True
254000011039,3,3,0,True
254000011040,3,3,0,True
254000011041,3,3,0,True
254000011042,3,3,0,True
