schema,ulysses1,schema.1,SAP EIM
sapisu,raw_t_rise_fkk_instpln_hist,SAP_RISE_1,T_RISE_FKK_INSTPLN_HIST
sapisu,raw_t_rise_fkkmako,SAP_RISE_1,T_RISE_FKKMAKO
sapisu,raw_t_rise_fkkmaze,SAP_RISE_1,T_RISE_FKKMAZE
sapisu,raw_t_rise_fkkvk,SAP_RISE_1,T_RISE_FKKVK
sapisu,raw_t_rise_fkkvkp,SAP_RISE_1,T_RISE_FKKVKP
sapisu,raw_t_rise_iflot,SAP_RISE_1,T_RISE_IFLOT
sapisu,raw_t_rise_iloa,SAP_RISE_1,T_RISE_ILOA
sapisu,raw_t_rise_jest,SAP_RISE_1,T_RISE_JEST
sapisu,raw_t_rise_knvv,SAP_RISE_1,T_RISE_KNVV
sapisu,raw_t_rise_sepa_mandate,SAP_RISE_1,T_RISE_SEPA_MANDATE
sapisu,raw_t_rise_tb038b,SAP_RISE_1,T_RISE_TB038B
sapisu,raw_t_rise_te069,SAP_RISE_1,T_RISE_TE069
sapisu,raw_t_rise_te069t,SAP_RISE_1,T_RISE_TE069T
sapisu,raw_t_rise_te227t,SAP_RISE_1,T_RISE_TE227T
sapisu,raw_t_rise_te418,SAP_RISE_1,T_RISE_TE418
sapisu,raw_t_rise_te422,SAP_RISE_1,T_RISE_TE422
sapisu,raw_t_rise_te835,SAP_RISE_1,T_RISE_TE835
sapisu,raw_t_rise_te835t,SAP_RISE_1,T_RISE_TE835T
sapisu,raw_t_rise_teclerk_idt,SAP_RISE_1,T_RISE_TECLERK_IDT
sapisu,raw_t_rise_tfk033d,SAP_RISE_1,T_RISE_TFK033D
sapisu,raw_t_rise_tfk047s,SAP_RISE_1,T_RISE_TFK047S
sapisu,raw_t_rise_tj02t,SAP_RISE_1,T_RISE_TJ02T
sapisu,raw_t_rise_tj30t,SAP_RISE_1,T_RISE_TJ30T
sapisu,raw_t_rise_toa01,SAP_RISE_1,T_RISE_TOA01
sapisu,raw_t_rise_tvgrt,SAP_RISE_1,T_RISE_TVGRT
sapisu,raw_t_rise_tvkbt,SAP_RISE_1,T_RISE_TVKBT
sapisu,raw_t_rise_usr01,SAP_RISE_1,T_RISE_USR01
sapisu,raw_t_rise_usr21,SAP_RISE_1,T_RISE_USR21
sapisu,raw_t_rise_vbak,SAP_RISE_1,T_RISE_VBAK
sapisu,raw_t_rise_vbap,SAP_RISE_1,T_RISE_VBAP
sapisu,raw_t_rise_vbkd,SAP_RISE_1,T_RISE_VBKD
sapisu,raw_t_rise_ztb_coupons_head,SAP_RISE_1,T_RISE_ZTB_COUPONS_HEAD
sapisu,raw_t_rise_ztb_coupons_inv,SAP_RISE_1,T_RISE_ZTB_COUPONS_INV
sapisu,raw_t_rise_ztb_e_click,SAP_RISE_1,T_RISE_ZTB_E_CLICK
sapisu,raw_t_rise_ztb_g_click,SAP_RISE_1,T_RISE_ZTB_G_CLICK
sapisu,raw_t_rise_ztb_mc_general,SAP_RISE_1,T_RISE_ZTB_MC_GENERAL
sapisu,raw_t_rise_ztb_mc_simul,SAP_RISE_1,T_RISE_ZTB_MC_SIMUL
sapisu,raw_t_rise_ztb_promo_codes,SAP_RISE_1,T_RISE_ZTB_PROMO_CODES
sapisu,raw_t_rise_ztb_promo_hist,SAP_RISE_1,T_RISE_ZTB_PROMO_HIST
sapisu,raw_t_rise_ztd_devices,SAP_RISE_1,T_RISE_ZTD_DEVICES
sapisu,raw_t_rise_ztf_contencioso,SAP_RISE_1,T_RISE_ZTF_CONTENCIOSO
sapisu,raw_t_rise_ztf_doctos_erc,SAP_RISE_1,T_RISE_ZTF_DOCTOS_ERC
sapisu,raw_t_rise_ztf_fat_mig,SAP_RISE_1,T_RISE_ZTF_FAT_MIG
sapisu,raw_t_rise_ztf_paytype_hist,SAP_RISE_1,T_RISE_ZTF_PAYTYPE_HIST
sapisu,raw_t_rise_ztf_plan_pagto_h,SAP_RISE_1,T_RISE_ZTF_PLAN_PAGTO_H
